שולחן ערוך אורח חיים ד,כף החיים,"סעיף יו""ד: נוטל כלי מים ביד ימינו",{{פרשע1|כהח|לד}},לד
שולחן ערוך אורח חיים ד,כף החיים,שם: נוטל מים ביד ימינו,{{פרשע1|כהח|לה}},לה
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|לו}},לו
שולחן ערוך אורח חיים ד,כף החיים,"סעיף י""א: לא יטול",{{פרשע1|כהח|לז}},לז
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|לח}},לח
שולחן ערוך אורח חיים ד,כף החיים,שם: לא יטול ממי שלא נטל,{{פרשע1|כהח|טל}},טל
שולחן ערוך אורח חיים ד,כף החיים,"סעיף י""ב: אם שכשך ידיו לתוך כלי של מים עלתה לו נטילה",{{פרשע1|כהח|מ}},מ
שולחן ערוך אורח חיים ד,כף החיים,שם: אבל לא לרוח רעה שעליהם,{{פרשע1|כהח|מא}},מא
שולחן ערוך אורח חיים ד,כף החיים,שם: אם שכשך ידיו בג' מימות מחולפים יש להסתפק,{{פרשע1|כהח|מב}},מב
שולחן ערוך אורח חיים ד,כף החיים,שם: בג' מימות מחולפים יש להסתפק,{{פרשע1|כהח|מג}},מג
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|מד}},מד
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|מה}},מה
שולחן ערוך אורח חיים ד,כף החיים,שם: יש להסתפק,{{פרשע1|כהח|מו}},מו
שולחן ערוך אורח חיים ד,כף החיים,"סעיף י""ג: אם היה ניעור כל הלילה יש להסתפק",{{פרשע1|כהח|מז}},מז
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|מח}},מח
שולחן ערוך אורח חיים ד,כף החיים,"שם בהג""ה: ויטלם בלא ברכה",{{פרשע1|כהח|מט}},מט
שולחן ערוך אורח חיים ד,כף החיים,"שם בהג""ה: ויטלם בלא ברכה",{{פרשע1|כהח|נ}},נ
שולחן ערוך אורח חיים ד,כף החיים,"שם בהג""ה: ויטלם בלא ברכה",{{פרשע1|כהח|נא}},נא
שולחן ערוך אורח חיים ד,כף החיים,"סעיף י""ד: השכים קודם עמוד השחר",{{פרשע1|כהח|נב}},נב
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|נג}},נג
שולחן ערוך אורח חיים ד,כף החיים,"שם בהג""ה: ויטלם בלא ברכה",{{פרשע1|כהח|נד}},נד
שולחן ערוך אורח חיים ד,כף החיים,"סעיף ט""ו: ישן ביום",{{פרשע1|כהח|נה}},נה
שולחן ערוך אורח חיים ד,כף החיים,שם: יש להסתפק,{{פרשע1|כהח|נו}},נו
שולחן ערוך אורח חיים ד,כף החיים,"סעיף ט""ז: דוד היה נזהר",{{פרשע1|כהח|נז}},נז
שולחן ערוך אורח חיים ד,כף החיים,"שם בהג""ה: ובגמרא פרק הישן משמע דדוקא ביום היה נזהר",{{פרשע1|כהח|נח}},נח
שולחן ערוך אורח חיים ד,כף החיים,"סעיף י""ז: יש נוהגין לרחוץ פיהם",{{פרשע1|כהח|נט}},נט
שולחן ערוך אורח חיים ד,כף החיים,"סעיף י""ח: אלו דברים צריכים נטילת ידיים במים",{{פרשע1|כהח|ס}},ס
שולחן ערוך אורח חיים ד,כף החיים,שם: הקם מהמטה,{{פרשע1|כהח|סא}},סא
